,wall_time,name,step,value
3,1677500692.4788291,name_fn/text_summary,0,0.0
4,1677500692.4788654,image_size/text_summary,0,0.0
5,1677500692.4789007,batch_size/text_summary,0,0.0
6,1677500692.4789376,epoch_steps/text_summary,0,0.0
7,1677500692.478972,enable_proxy_attention/text_summary,0,0.0
8,1677500692.4790075,change_subset_attention/text_summary,0,0.0
9,1677500692.4790416,num_gpu/text_summary,0,0.0
10,1677500692.4790747,num_cpu/text_summary,0,0.0
11,1677500692.4793518,transfer_imagenet/text_summary,0,0.0
12,1677500692.4835749,subset_images/text_summary,0,0.0
13,1677500692.4876502,proxy_threshold/text_summary,0,0.0
14,1677500692.4918113,pixel_replacement_method/text_summary,0,0.0
15,1677500692.4958277,model/text_summary,0,0.0
16,1677500692.5002158,proxy_steps/text_summary,0,0.0
17,1677500692.5045462,load_proxy_data/text_summary,0,0.0
18,1677500692.5086062,gradient_method/text_summary,0,0.0
19,1677500692.5127296,clear_every_step/text_summary,0,0.0
20,1677500692.5166948,fname_start/text_summary,0,0.0
21,1677500692.520797,device/text_summary,0,0.0
22,1677500692.524833,global_run_count/text_summary,0,0.0
23,1677500692.5288315,label_map/text_summary,0,0.0
24,1677500692.5327835,rev_label_map/text_summary,0,0.0
25,1677500692.536718,num_classes/text_summary,0,0.0
26,1677500706.9741583,proxy_step,1,0.0
27,1677500706.9742434,Loss/Train,1,1.2580864429473877
28,1677500706.974528,Acc/Train,1,0.6837999820709229
29,1677500720.8253632,proxy_step,1,0.0
30,1677500720.8254464,Loss/Val,1,0.18738073110580444
31,1677500720.8258114,Acc/Val,1,0.9639999866485596
0,1677500722.7308645,experiment_name/text_summary,0,0.0
1,1677500722.730972,ds_path/text_summary,0,0.0
2,1677500722.731019,ds_name/text_summary,0,0.0
3,1677500722.7310643,name_fn/text_summary,0,0.0
4,1677500722.7311015,image_size/text_summary,0,0.0
5,1677500722.7311366,batch_size/text_summary,0,0.0
6,1677500722.7311747,epoch_steps/text_summary,0,0.0
7,1677500722.7312343,enable_proxy_attention/text_summary,0,0.0
8,1677500722.7312815,change_subset_attention/text_summary,0,0.0
9,1677500722.7313185,num_gpu/text_summary,0,0.0
10,1677500722.731354,num_cpu/text_summary,0,0.0
11,1677500722.7316246,transfer_imagenet/text_summary,0,0.0
12,1677500722.7357645,subset_images/text_summary,0,0.0
13,1677500722.7397919,proxy_threshold/text_summary,0,0.0
14,1677500722.7439504,pixel_replacement_method/text_summary,0,0.0
15,1677500722.7484806,model/text_summary,0,0.0
16,1677500722.7525764,proxy_steps/text_summary,0,0.0
17,1677500722.7570214,load_proxy_data/text_summary,0,0.0
18,1677500722.7611182,gradient_method/text_summary,0,0.0
19,1677500722.7650268,clear_every_step/text_summary,0,0.0
20,1677500722.7691262,fname_start/text_summary,0,0.0
21,1677500722.7731907,device/text_summary,0,0.0
22,1677500722.7771382,global_run_count/text_summary,0,0.0
23,1677500722.7809632,label_map/text_summary,0,0.0
24,1677500722.7849393,rev_label_map/text_summary,0,0.0
25,1677500722.7887568,num_classes/text_summary,0,0.0
26,1677500737.2566216,proxy_step,1,0.0
27,1677500737.2567098,Loss/Train,1,1.2301464080810547
28,1677500737.2569835,Acc/Train,1,0.6899999976158142
29,1677500751.072408,proxy_step,1,0.0
30,1677500751.0724967,Loss/Val,1,0.2368825525045395
31,1677500751.0727713,Acc/Val,1,0.953000009059906
0,1677500753.019444,experiment_name/text_summary,0,0.0
1,1677500753.0195434,ds_path/text_summary,0,0.0
2,1677500753.019587,ds_name/text_summary,0,0.0
3,1677500753.0196311,name_fn/text_summary,0,0.0
4,1677500753.019667,image_size/text_summary,0,0.0
5,1677500753.019702,batch_size/text_summary,0,0.0
6,1677500753.019738,epoch_steps/text_summary,0,0.0
